station,vmm,ch,channel_id,x,y,radius,phi,pad_area,connector_N,half,n_track,k_track,eff,n_hits,adc_med,adc_p25,adc_p75,adc_med_raw8,adc_mpv,masked,illuminated,eff_err
P2_IN,3,41,470,482.2646,196.2323,571.1112,0.39740381,132.927,4,top,0.0,0.0,,27669.0,124.06157561122849,102.5623915654611,218.2183908045977,122.16457960644007,104.0,False,False,
P2_IN,3,42,469,132.1373,56.0728,194.0145,0.42428478,130.257,4,top,0.0,0.0,,4352.0,108.69796279893711,93.59812353401094,152.41666666666669,107.65501165501165,88.0,False,False,
P2_IN,3,43,468,514.5007,207.9728,605.3846,0.39487978,132.985,4,top,0.0,0.0,,24389.0,104.37853823405155,91.33235221976943,126.9162087912088,102.1071648532129,88.0,False,False,
P2_IN,3,44,467,397.7919,161.253,479.6778,0.39872707,132.732,4,top,5986.0,1871.0,0.31256264617440693,52041.0,114.09156139464376,102.14829996321404,142.43716741711012,113.52986398580721,104.0,False,True,0.005991240381439865
P2_IN,3,45,466,281.0835,114.5361,353.9704,0.40415423,132.26,4,top,0.0,0.0,,19286.0,106.13324056357628,92.84041485446637,133.6429699842022,103.60919540229885,88.0,False,False,
P2_IN,3,46,465,546.7347,219.7111,636.5119,0.39269264,133.031,4,top,0.0,0.0,,25251.0,111.24673710379118,100.78433809819764,124.00922485586163,111.21604139715394,104.0,False,False,
P2_IN,3,47,464,430.0258,172.9925,513.9483,0.39567519,132.811,4,top,0.0,0.0,,46826.0,105.21814870536068,91.58054862842893,133.5196172248804,103.0172393007836,88.0,False,False,
P2_IN,3,48,463,164.3761,67.8288,228.2752,0.41708583,131.037,4,top,0.0,0.0,,5943.0,107.06706231454005,93.13743016759777,138.66339066339066,105.03852596314908,88.0,False,False,
P2_IN,3,49,462,313.3171,126.278,388.2302,0.39818241,132.439,4,top,0.0,0.0,,15268.0,118.84603886397608,103.56931571682114,160.82800608828006,117.17806670435274,104.0,False,False,
P2_IN,3,50,461,462.2575,184.7307,548.2195,0.39246467,132.884,4,top,0.0,0.0,,21024.0,108.54772835206586,95.13046607881951,142.99928109273904,105.9823399558499,104.0,False,False,
P2_IN,3,51,460,345.5482,138.0173,422.5073,0.39617858,132.563,4,top,0.0,0.0,,17995.0,114.60339943342777,101.17091152815013,154.7282491944146,114.04905239687848,104.0,False,False,
