channel_id,feu,channel,pad_cx,pad_cy,ped_mean,thr_word,thr_adc
482,5,93,470.0076,195.9825,307,285,29
481,5,94,385.5391,160.998,291,284,28
480,5,95,110.37,48.8092,299,285,29
479,5,96,502.2533,207.729,303,285,29
478,5,97,301.0708,126.0152,283,283,27
477,5,98,417.7845,172.7454,320,284,28
476,5,99,534.4961,219.4728,315,283,27
475,5,100,216.603,91.037,280,286,30
474,5,101,333.3152,137.765,300,285,29
473,5,102,450.026,184.4902,311,285,29
472,5,103,248.8458,102.7896,314,284,28
471,5,104,365.5552,149.5104,319,285,29
470,5,105,482.2646,196.2323,278,284,28
469,5,106,132.1373,56.0728,330,286,30
468,5,107,514.5007,207.9728,266,284,28
467,5,108,397.7919,161.253,300,285,29
466,5,109,281.0835,114.5361,319,284,28
465,5,110,546.7347,219.7111,291,284,28
464,5,111,430.0258,172.9925,293,284,28
463,5,112,164.3761,67.8288,304,285,29
462,5,113,313.3171,126.278,285,284,28
461,5,114,462.2575,184.7307,307,284,28
460,5,115,345.5482,138.0173,294,283,27
459,5,116,494.4877,196.4671,280,285,29
458,5,117,196.6092,79.5745,283,285,29
457,5,118,526.7163,208.2026,305,284,28
456,5,119,377.7769,149.7542,266,284,28
455,5,120,228.8381,91.3143,276,285,29
454,5,121,410.0043,161.4895,300,284,28
453,5,122,261.0647,103.051,280,285,29
452,5,123,442.2302,173.2231,270,284,28
451,5,124,293.2894,114.7849,291,284,28
450,5,125,474.4551,184.9561,276,283,27
449,5,126,325.513,126.5175,322,284,28
448,5,127,506.6791,196.688,298,283,27
575,5,128,310.9691,158.9452,300,284,28
574,5,129,402.8835,205.1091,279,283,27
573,5,130,494.7985,251.2725,333,283,27
572,5,131,291.1408,147.5139,293,283,27
571,5,132,383.0551,193.6743,347,282,26
570,5,133,474.9701,239.835,306,282,26
569,5,134,199.2298,101.3555,335,284,28
568,5,135,271.3081,136.0823,320,284,28
567,5,136,363.2228,182.2385,316,282,26
566,5,137,455.1383,228.397,303,283,27
565,5,138,179.3944,89.9328,338,283,27
564,5,139,435.3034,216.9582,313,282,26
563,5,140,527.2203,263.1166,345,282,26
562,5,141,343.3865,170.8021,320,284,28
561,5,142,251.4687,124.6507,325,283,27
560,5,143,507.3833,251.6753,322,282,26
559,5,144,415.4646,205.5186,327,284,28
558,5,145,159.5497,78.5123,305,284,28
557,5,146,323.5446,159.3648,354,284,28
556,5,147,487.5426,240.2333,306,283,27
555,5,148,231.6214,113.2187,348,284,28
554,5,149,395.621,194.0778,319,283,27
553,5,150,303.6962,147.927,340,284,28
552,5,151,467.6979,228.7903,345,283,27
551,5,152,139.6894,67.0966,343,285,29
550,5,153,375.772,182.6364,303,283,27
549,5,154,211.7641,101.7869,351,284,28
