station,gas,run,sub,chip,mesh,drift,n,sigma,mu,ctr,eff,pt,gain
P2_MID,Ar/CO2/Iso 93/5/2,run_57,driftscan_gap200V,p2b-config-cern-ext_gain3.0_peaktime200.txt,450.0,650.0,16,30.017085000150708,142.01436805935003,19.314746485786724,0.3649354059518717,200.0,3.0
P2_MID,Ar/CO2/Iso 93/5/2,run_57,driftscan_gap250V,p2b-config-cern-ext_gain3.0_peaktime200.txt,450.0,700.0,17,24.83999089995069,123.6316441512683,25.397536381367097,0.3725297686478865,200.0,3.0
P2_MID,Ar/CO2/Iso 93/5/2,run_57,driftscan_gap300V,p2b-config-cern-ext_gain3.0_peaktime200.txt,450.0,750.0,16,22.858002791426337,116.73539083771789,29.065586064239163,0.37311473601997114,200.0,3.0
P2_MID,Ar/CO2/Iso 93/5/2,run_57,driftscan_gap350V,p2b-config-cern-ext_gain3.0_peaktime200.txt,450.0,800.0,17,22.537184589273643,114.83371302692672,29.11913542984567,0.3727737079104778,200.0,3.0
P2_MID,Ar/CO2/Iso 93/5/2,run_57,driftscan_gap400V,p2b-config-cern-ext_gain3.0_peaktime200.txt,450.0,850.0,17,22.794174317573443,114.8782581649938,27.495383476732357,0.3644786367208504,200.0,3.0
P2_MID,Ar/CO2/Iso 93/5/2,run_57,meshscan_m100V,p2b-config-cern-ext_gain3.0_peaktime200.txt,350.0,650.0,10,6.456480364381366,112.19613200571496,32.20381572435163,-2.8688915893100003e-05,200.0,3.0
P2_MID,Ar/CO2/Iso 93/5/2,run_57,meshscan_m80V,p2b-config-cern-ext_gain3.0_peaktime200.txt,370.0,670.0,17,30.490051329198515,124.298667674678,22.19676498572788,0.0260501465320742,200.0,3.0
P2_MID,Ar/CO2/Iso 93/5/2,run_57,meshscan_m90V,p2b-config-cern-ext_gain3.0_peaktime200.txt,360.0,660.0,8,20.83372930642581,122.76970656694081,23.389590098632652,0.01797159962828005,200.0,3.0
P2_MID,Ar/CO2/Iso 93/5/2,run_58,operating_00,p2b-config-cern-ext_gain3.0_peaktime200.txt,450.0,750.0,38,22.99688497931819,116.79818215103221,27.49959278172937,0.3740093846613425,200.0,3.0
P2_MID,Ar/CO2/Iso 93/5/2,run_58,operating_01,p2b-config-cern-ext_gain3.0_peaktime200.txt,450.0,750.0,38,23.03668019924346,116.76143491436075,27.441036202050192,0.3737708988061478,200.0,3.0
P2_MID,Ar/CO2/Iso 93/5/2,run_58,operating_02,p2b-config-cern-ext_gain3.0_peaktime200.txt,450.0,750.0,38,23.122162157365363,116.6749653655549,27.289788188595594,0.3746900387671416,200.0,3.0
P2_OUT,Ar/CF4/Iso 88/10/2,run_61,meshscan_m00V,p2b-config-cern-ext_gain3.0_peaktime200.txt,450.0,750.0,41,28.44847373160699,121.11192615816068,24.15847859484639,0.5426216973918954,200.0,3.0
P2_OUT,Ar/CF4/Iso 88/10/2,run_61,meshscan_m100V,p2b-config-cern-ext_gain3.0_peaktime200.txt,350.0,650.0,14,34.85663409828966,119.97664305619355,10.266166803701655,0.01241024876123965,200.0,3.0
P2_OUT,Ar/CF4/Iso 88/10/2,run_61,meshscan_m10V,p2b-config-cern-ext_gain3.0_peaktime200.txt,440.0,740.0,41,30.061549004877428,122.27836846491029,22.754216751547137,0.4256366520034713,200.0,3.0
P2_OUT,Ar/CF4/Iso 88/10/2,run_61,meshscan_m20V,p2b-config-cern-ext_gain3.0_peaktime200.txt,430.0,730.0,41,32.04119609609268,123.38066368791512,21.612776925319192,0.3012281973644931,200.0,3.0
P2_OUT,Ar/CF4/Iso 88/10/2,run_61,meshscan_m30V,p2b-config-cern-ext_gain3.0_peaktime200.txt,420.0,720.0,48,34.31634181564577,123.84210224477752,18.38743245423449,0.19390317773828636,200.0,3.0
